Fatt. n°/Vs. Orc	Cliente	Kg	Ordine < 500 (non compilare se in C/L)	Lav	Tipologia Materiale	Materiale Euro di riferimento	Materiale+Lav con commissione	Vendita	Aliquota variabile	Commissione con aliquota Variabile	1,5% fissa	3% Fissa	8% Fissa	Totale Fisso	delta	Totale provv variabile	TOTALE FATTURA	Data Consegna	 € 18.539,86 	 € 62.281,55 			
2503392	Ansaldo	6.000,00		 € 3,260 	Rame	 € 9,0503 	 € 12,3103 	 € 12,7800 	4,00%	 € 0,4924 	 € -     	 € -     	 € 0,2608 	 € 1.564,8000 	 € 0,4700 	 € 1.128,0000 	 € 2.692,8000 	31/10/2025				10	2025
2503392	Ansaldo	6.000,00		 € 3,260 	Rame	 € 9,0503 	 € 12,3103 	 € 12,7800 	4,00%	 € 0,4924 	 € -     	 € -     	 € 0,2608 	 € 1.564,8000 	 € 0,4700 	 € 1.128,0000 	 € 2.692,8000 	16/10/2025				10	2025
2503803	Belotti	500,00		 € 3,130 	Rame	 € 8,1071 	 € 11,2371 	 € 12,1071 	5,00%	 € 0,5619 	 € 0,1686 	 € -     	 € -     	 € 84,2781 	 € 0,8700 	 € 174,0037 	 € 258,2818 	10/12/2025				12	2025
2503803	Belotti	500,00		 € 3,130 	Rame	 € 8,1071 	 € 11,2371 	 € 12,1071 	5,00%	 € 0,5619 	 € 0,1686 	 € -     	 € -     	 € 84,2781 	 € 0,8700 	 € 174,0037 	 € 258,2818 	10/02/2026				2	2026
2503803	Belotti	500,00		 € 3,130 	Rame	 € 8,1071 	 € 11,2371 	 € 12,1071 	5,00%	 € 0,5619 	 € 0,1686 	 € -     	 € -     	 € 84,2781 	 € 0,8700 	 € 174,0037 	 € 258,2818 	10/03/2026				3	2026
2503803	Belotti	500,00		 € 3,130 	Rame	 € 8,1071 	 € 11,2371 	 € 12,1071 	5,00%	 € 0,5619 	 € 0,1686 	 € -     	 € -     	 € 84,2781 	 € 0,8700 	 € 174,0037 	 € 258,2818 	10/04/2026				4	2026
2503833/25008109	Alstom	503,00		 € 0,660 	Rame	 € 8,1071 	 € 8,7671 	 € 8,7671 	5,00%	 € 0,4384 	 € 0,1315 	 € -     	 € -     	 € 66,1476 	 € 0,0000 	 € 0,0037 	 € 66,1513 			mancano Kg 500 da consegnare a Dicembre		0	0
2503833	Alstom	500,00		 € 0,660 	Rame	 € 8,1071 	 € 8,7671 	 € 8,7671 	5,00%	 € 0,4384 	 € 0,1315 	 € -     	 € -     	 € 65,7531 	 € 0,0000 	 € 0,0037 	 € 65,7568 	02/12/2025				12	2025
2503833	Alstom	493,00		 € 0,660 	Rame	 € 8,1071 	 € 8,7671 	 € 8,7671 	5,00%	 € 0,4384 	 € 0,1315 	 € -     	 € -     	 € 64,8326 	 € 0,0000 	 € 0,0036 	 € 64,8362 			mancano Kg 1000 		0	0
2503833/25008136	Alstom	493,00		 € 0,660 	Rame	 € 8,1071 	 € 8,7671 	 € 8,7671 	5,00%	 € 0,4384 	 € 0,1315 	 € -     	 € -     	 € 64,8326 	 € 0,0000 	 € 0,0036 	 € 64,8362 					0	0
2504089/25008138	Alstom	527,00		 € 0,740 	Rame	 € 8,6697 	 € 9,4097 	 € 9,4700 	5,00%	 € 0,4705 	 € 0,1411 	 € -     	 € -     	 € 74,3833 	 € 0,0603 	 € 12,7209 	 € 87,1042 					0	0
2504185/25007929	Cabur	498,00		 € 0,800 	Rame	 € 9,1179 	 € 9,9179 	 € 9,9179 	5,00%	 € 0,4959 	 € 0,1488 	 € -     	 € -     	 € 74,0866 	 € 0,0000 	 € 0,0024 	 € 74,0890 		OK			0	0
2504213/25008250	Newton	2.857,00		 € 1,400 	Rame	 € 9,1392 	 € 10,5392 	 € 11,0000 	5,00%	 € 0,5270 	 € 0,1581 	 € -     	 € -     	 € 451,6562 	 € 0,4608 	 € 526,6335 	 € 978,2898 		OK			0	0
2504213/25008374	Newton	517,50		 € 1,600 	Rame	 € 9,1392 	 € 10,7392 	 € 11,2600 	5,00%	 € 0,5370 	 € 0,1611 	 € -     	 € -     	 € 83,3628 	 € 0,5208 	 € 107,8113 	 € 191,1741 		OK			0	0
2504213/25008250	Newton	11.342,50		 € 1,450 	Rame	 € 9,1392 	 € 10,5892 	 € 11,0500 	5,00%	 € 0,5295 	 € 0,1588 	 € -     	 € -     	 € 1.801,6154 	 € 0,4608 	 € 2.090,7739 	 € 3.892,3893 		OK			0	0
2504213/25008250	Newton	2.322,00		 € 1,650 	Rame	 € 9,1392 	 € 10,7892 	 € 11,3100 	5,00%	 € 0,5395 	 € 0,1618 	 € -     	 € -     	 € 375,7869 	 € 0,5208 	 € 483,7445 	 € 859,5314 		OK			0	0
2504213/25008250	Newton	15.016,00		 € 2,800 	Rame	 € 9,1392 	 € 11,9392 	 € 12,5200 	5,00%	 € 0,5970 	 € 0,1791 	 € -     	 € -     	 € 2.689,1792 	 € 0,5808 	 € 3.488,6817 	 € 6.177,8609 		OK			0	0
2504203	Cabur	2.529,00		 € 0,770 	Rame	 € 9,8689 	 € 10,6389 	 € 10,6389 	5,00%	 € 0,5319 	 € 0,1596 	 € -     	 € -     	 € 403,5880 	 € -     	 € -     	 € 403,5880 		OK			0	0
2504240	Scame	2.000,00		 € 0,720 	Rame	 € 9,0862 	 € 9,8062 	 € 10,2360 	5,00%	 € 0,4903 	 € 0,1471 	 € -     	 € -     	 € 294,1868 	 € 0,4298 	 € 343,8180 	 € 638,0048 	03/02/2026				2	2026
2504414	Alstom	8.700,00		 € 0,660 	Rame	 € 9,1610 	 € 9,8210 	 € 9,8200 	5,00%	 € 0,4910 	 € 0,1473 	 € -     	 € -     	 € 1.281,6391 	 € -     	 € -     	 € 1.281,6391 	03/12/2025				12	2025
2504414	Alstom	2.600,00		 € 0,660 	Rame	 € 9,1610 	 € 9,8210 	 € 9,8200 	5,00%	 € 0,4910 	 € 0,1473 	 € -     	 € -     	 € 383,0186 	 € -     	 € -     	 € 383,0186 	03/12/2025				12	2025
