Fatt. n°/Vs. Orc	Cliente	Kg	Ordine < 500 (non compilare se in C/L)	Lav	Tipologia Materiale	Materiale Euro di riferimento	Materiale+Lav con commissione	Vendita	Aliquota variabile	Commissione con aliquota Variabile	1,5% fissa	3% Fissa	8% Fissa	Totale Fisso	delta	Totale provv variabile	TOTALE FATTURA	Data Consegna	 € 18.539,86 	 € 62.281,55 			
2505254	Ansaldo	6.000,00		 € 3,260 	Rame	 € 10,0017 	 € 13,2617 	 € 13,7000 	4,00%	 € 0,5305 	 € -     	 € -     	 € 0,2608 	 € 1.564,8000 	 € 0,4400 	 € 1.056,0000 	 € 2.620,8000 	25/05/2026				5	2026
2505254	Ansaldo	7.000,00		 € 3,260 	Rame	 € 10,0017 	 € 13,2617 	 € 13,7000 	4,00%	 € 0,5305 	 € -     	 € -     	 € 0,2608 	 € 1.825,6000 	 € 0,4400 	 € 1.232,0000 	 € 3.057,6000 	10/06/2026				6	2026
2505254	Ansaldo	7.000,00		 € 3,260 	Rame	 € 10,0017 	 € 13,2617 	 € 13,7000 	4,00%	 € 0,5305 	 € -     	 € -     	 € 0,2608 	 € 1.825,6000 	 € 0,4400 	 € 1.232,0000 	 € 3.057,6000 	22/06/2026				6	2026
2505335	Cabur	2.200,00		 € 0,780 	Rame	 € 10,0979 	 € 10,8779 	 € 10,8779 	5,00%	 € 0,5439 	 € 0,1632 	 € -     	 € -     	 € 358,9707 	 € 0,0000 	 € 0,0005 	 € 358,9712 	08/01/2026				1	2026
2505335	Cabur	500,00		 € 0,780 	Rame	 € 10,0979 	 € 10,8779 	 € 10,8779 	5,00%	 € 0,5439 	 € 0,1632 	 € -     	 € -     	 € 81,5842 	 € 0,0000 	 € 0,0001 	 € 81,5844 	08/01/2026				1	2026
2505510	Omis	1.200,00		 € 0,730 	Rame	 € 10,0692 	 € 10,7992 	 € 12,2340 	5,00%	 € 0,5400 	 € 0,1620 	 € -     	 € -     	 € 194,3847 	 € 1,4348 	 € 688,7272 	 € 883,1119 	05/12/2025				12	2025
2505354	Belotti	500,00		 € 3,130 	Rame	 € 10,0093 	 € 13,1393 	 € 14,0093 	5,00%	 € 0,6570 	 € 0,1971 	 € -     	 € -     	 € 98,5446 	 € 0,8700 	 € 174,0027 	 € 272,5474 	15/01/2026				1	2026
2505418	Cabur	1.200,00		 € 0,800 	Rame	 € 10,0392 	 € 10,8392 	 € 10,8392 	5,00%	 € 0,5420 	 € 0,1626 	 € -     	 € -     	 € 195,1059 	 € -     	 € -     	 € 195,1059 	04/02/2026				2	2026
2505418	Cabur	1.000,00		 € 0,800 	Rame	 € 10,0392 	 € 10,8392 	 € 10,8392 	5,00%	 € 0,5420 	 € 0,1626 	 € -     	 € -     	 € 162,5883 	 € -     	 € -     	 € 162,5883 	04/03/2026				3	2026
2505419	Csf	2.000,00		 € 0,600 	Rame	 € 9,8890 	 € 10,4890 	 € 11,0500 	5,00%	 € 0,5245 	 € 0,1573 	 € -     	 € -     	 € 314,6704 	 € 0,5610 	 € 448,7892 	 € 763,4596 	15/01/2026				1	2026
2505436	Top Quality	500,00		 € 0,790 	Rame	 € 9,8886 	 € 10,6786 	 € 11,9000 	5,00%	 € 0,5339 	 € 0,1602 	 € -     	 € -     	 € 80,0894 	 € 1,2214 	 € 244,2826 	 € 324,3720 	15/01/2026				1	2026
2504571	Elektra	315,00		 € 0,760 	Rame	 € -     	 € 0,7600 	 € 0,8600 	0,00%	 € -     	 € -     	 € -     	 € 0,0608 	 € 19,1520 	 € 0,1000 	 € 12,6000 	 € 31,7520 		OK			0	0
2505428	Elettromil	525,00		 € 7,680 	Rame	 € 10,1046 	 € 17,7846 	 € 18,1760 	5,00%	 € 0,8892 	 € 0,2668 	 € -     	 € -     	 € 140,0537 	 € 0,3914 	 € 82,1951 	 € 222,2488 	15/04/2026				4	2026
2505428	Elettromil	871,00		 € 4,420 	Rame	 € 10,1046 	 € 14,5246 	 € 14,9460 	5,00%	 € 0,7262 	 € 0,2179 	 € -     	 € -     	 € 189,7638 	 € 0,4214 	 € 146,8175 	 € 336,5814 	15/04/2026				4	2026
2505428	Elettromil	580,00		 € 6,610 	Rame	 € 10,1046 	 € 16,7146 	 € 17,1460 	5,00%	 € 0,8357 	 € 0,2507 	 € -     	 € -     	 € 145,4170 	 € 0,4314 	 € 100,0860 	 € 245,5030 	15/04/2026				4	2026
2505428	Elettromil	494,00		 € 6,660 	Rame	 € 10,1046 	 € 16,7646 	 € 17,1960 	5,00%	 € 0,8382 	 € 0,2515 	 € -     	 € -     	 € 124,2256 	 € 0,4314 	 € 85,2456 	 € 209,4713 	15/04/2026				4	2026
	Alstom	1.250,00		 € 0,660 	Rame	 € 9,9335 	 € 10,5935 	 € 10,5935 	5,00%	 € 0,5297 	 € 0,1589 	 € -     	 € -     	 € 198,6276 	 € 0,0000 	 € 0,0152 	 € 198,6427 	05/04/2026				4	2026
	Alstom	1.500,00		 € 0,660 	Rame	 € 9,9335 	 € 10,5935 	 € 10,5935 	5,00%	 € 0,5297 	 € 0,1589 	 € -     	 € -     	 € 238,3531 	 € 0,0000 	 € 0,0182 	 € 238,3713 	02/03/2026				3	2026
	Alstom	500,00		 € 0,660 	Rame	 € 9,9335 	 € 10,5935 	 € 10,5935 	5,00%	 € 0,5297 	 € 0,1589 	 € -     	 € -     	 € 79,4510 	 € 0,0000 	 € 0,0061 	 € 79,4571 	05/02/2026				2	2026
	Alstom	500,00		 € 0,660 	Rame	 € 9,9335 	 € 10,5935 	 € 10,5935 	5,00%	 € 0,5297 	 € 0,1589 	 € -     	 € -     	 € 79,4510 	 € 0,0000 	 € 0,0061 	 € 79,4571 	05/02/2026				2	2026
	Alstom	500,00		 € 0,660 	Rame	 € 9,9335 	 € 10,5935 	 € 10,5935 	5,00%	 € 0,5297 	 € 0,1589 	 € -     	 € -     	 € 79,4510 	 € 0,0000 	 € 0,0061 	 € 79,4571 	05/02/2026				2	2026
	Alstom	500,00		 € 0,660 	Rame	 € 9,9335 	 € 10,5935 	 € 10,5935 	5,00%	 € 0,5297 	 € 0,1589 	 € -     	 € -     	 € 79,4510 	 € 0,0000 	 € 0,0061 	 € 79,4571 	05/02/2026				2	2026
	Alstom	250,00		 € 0,660 	Rame	 € 9,9335 	 € 10,5935 	 € 10,5935 	5,00%	 € 0,5297 	 € 0,1589 	 € -     	 € -     	 € 39,7255 	 € 0,0000 	 € 0,0030 	 € 39,7285 	02/03/2026				3	2026
	Omis	1.200,00		 € 0,700 	Rame	 € 10,0625 	 € 10,7625 	 € 12,2300 	5,00%	 € 0,5381 	 € 0,1614 	 € -     	 € -     	 € 193,7250 	 € 1,4675 	 € 704,4000 	 € 898,1250 	12/12/2025				12	2025
	Cabur	600,00		 € 0,790 	Rame	 € 10,1143 	 € 10,9043 	 € 10,9043 	5,00%	 € 0,5452 	 € 0,1636 	 € -     	 € -     	 € 98,1391 	 € -     	 € -     	 € 98,1391 					0	0
	Cabur	600,00		 € 0,790 	Rame	 € 10,1143 	 € 10,9043 	 € 10,9043 	5,00%	 € 0,5452 	 € 0,1636 	 € -     	 € -     	 € 98,1391 	 € -     	 € -     	 € 98,1391 					0	0
						 € -     	 € -     		0,00%	 € -     	 € -     	 € -     	 € -     	 € -     	 € -     	 € -     	 € -     					0	0
						 € -     	 € -     		0,00%	 € -     	 € -     	 € -     	 € -     	 € -     	 € -     	 € -     	 € -     					0	0
						 € -     	 € -     		0,00%	 € -     	 € -     	 € -     	 € -     	 € -     	 € -     	 € -     	 € -     					0	0
						 € -     	 € -     		0,00%	 € -     	 € -     	 € -     	 € -     	 € -     	 € -     	 € -     	 € -     					0	0
						 € -     	 € -     		0,00%	 € -     	 € -     	 € -     	 € -     	 € -     	 € -     	 € -     	 € -     					0	0
						 € -     	 € -     		0,00%	 € -     	 € -     	 € -     	 € -     	 € -     	 € -     	 € -     	 € -     					0	0
						 € -     	 € -     		0,00%	 € -     	 € -     	 € -     	 € -     	 € -     	 € -     	 € -     	 € -     					0	0
						 € -     	 € -     		0,00%	 € -     	 € -     	 € -     	 € -     	 € -     	 € -     	 € -     	 € -     					0	0
						 € -     	 € -     		0,00%	 € -     	 € -     	 € -     	 € -     	 € -     	 € -     	 € -     	 € -     					0	0
						 € -     	 € -     		0,00%	 € -     	 € -     	 € -     	 € -     	 € -     	 € -     	 € -     	 € -     					0	0
						 € -     	 € -     		0,00%	 € -     	 € -     	 € -     	 € -     	 € -     	 € -     	 € -     	 € -     					0	0
						 € -     	 € -     		0,00%	 € -     	 € -     	 € -     	 € -     	 € -     	 € -     	 € -     	 € -     					0	0
						 € -     	 € -     		0,00%	 € -     	 € -     	 € -     	 € -     	 € -     	 € -     	 € -     	 € -     					0	0
						 € -     	 € -     		0,00%	 € -     	 € -     	 € -     	 € -     	 € -     	 € -     	 € -     	 € -     					0	0
						 € -     	 € -     		0,00%	 € -     	 € -     	 € -     	 € -     	 € -     	 € -     	 € -     	 € -     					0	0
						 € -     	 € -     		0,00%	 € -     	 € -     	 € -     	 € -     	 € -     	 € -     	 € -     	 € -     					0	0
						 € -     	 € -     		0,00%	 € -     	 € -     	 € -     	 € -     	 € -     	 € -     	 € -     	 € -     					0	0
						 € -     	 € -     		0,00%	 € -     	 € -     	 € -     	 € -     	 € -     	 € -     	 € -     	 € -     					0	0
						 € -     	 € -     		0,00%	 € -     	 € -     	 € -     	 € -     	 € -     	 € -     	 € -     	 € -     					0	0
						 € -     	 € -     		0,00%	 € -     	 € -     	 € -     	 € -     	 € -     	 € -     	 € -     	 € -     					0	0
						 € -     	 € -     		0,00%	 € -     	 € -     	 € -     	 € -     	 € -     	 € -     	 € -     	 € -     					0	0
						 € -     	 € -     		0,00%	 € -     	 € -     	 € -     	 € -     	 € -     	 € -     	 € -     	 € -     					0	0
						 € -     	 € -     		0,00%	 € -     	 € -     	 € -     	 € -     	 € -     	 € -     	 € -     	 € -     					0	0
						 € -     	 € -     		0,00%	 € -     	 € -     	 € -     	 € -     	 € -     	 € -     	 € -     	 € -     					0	0
						 € -     	 € -     		0,00%	 € -     	 € -     	 € -     	 € -     	 € -     	 € -     	 € -     	 € -     					0	0
						 € -     	 € -     		0,00%	 € -     	 € -     	 € -     	 € -     	 € -     	 € -     	 € -     	 € -     					0	0
						 € -     	 € -     		0,00%	 € -     	 € -     	 € -     	 € -     	 € -     	 € -     	 € -     	 € -     					0	0
						 € -     	 € -     		0,00%	 € -     	 € -     	 € -     	 € -     	 € -     	 € -     	 € -     	 € -     					0	0
						 € -     	 € -     		0,00%	 € -     	 € -     	 € -     	 € -     	 € -     	 € -     	 € -     	 € -     					0	0
						 € -     	 € -     		0,00%	 € -     	 € -     	 € -     	 € -     	 € -     	 € -     	 € -     	 € -     					0	0
						 € -     	 € -     		0,00%	 € -     	 € -     	 € -     	 € -     	 € -     	 € -     	 € -     	 € -     					0	0
						 € -     	 € -     		0,00%	 € -     	 € -     	 € -     	 € -     	 € -     	 € -     	 € -     	 € -     					0	0
						 € -     	 € -     		0,00%	 € -     	 € -     	 € -     	 € -     	 € -     	 € -     	 € -     	 € -     					0	0
						 € -     	 € -     		0,00%	 € -     	 € -     	 € -     	 € -     	 € -     	 € -     	 € -     	 € -     					0	0
						 € -     	 € -     		0,00%	 € -     	 € -     	 € -     	 € -     	 € -     	 € -     	 € -     	 € -     					0	0
						 € -     	 € -     		0,00%	 € -     	 € -     	 € -     	 € -     	 € -     	 € -     	 € -     	 € -     					0	0
						 € -     	 € -     		0,00%	 € -     	 € -     	 € -     	 € -     	 € -     	 € -     	 € -     	 € -     					0	0
						 € -     	 € -     		0,00%	 € -     	 € -     	 € -     	 € -     	 € -     	 € -     	 € -     	 € -     					0	0
						 € -     	 € -     		0,00%	 € -     	 € -     	 € -     	 € -     	 € -     	 € -     	 € -     	 € -     					0	0
						 € -     	 € -     		0,00%	 € -     	 € -     	 € -     	 € -     	 € -     	 € -     	 € -     	 € -     					0	0
						 € -     	 € -     		0,00%	 € -     	 € -     	 € -     	 € -     	 € -     	 € -     	 € -     	 € -     					0	0
						 € -     	 € -     		0,00%	 € -     	 € -     	 € -     	 € -     	 € -     	 € -     	 € -     	 € -     					0	0
						 € -     	 € -     		0,00%	 € -     	 € -     	 € -     	 € -     	 € -     	 € -     	 € -     	 € -     					0	0
						 € -     	 € -     		0,00%	 € -     	 € -     	 € -     	 € -     	 € -     	 € -     	 € -     	 € -     					0	0
						 € -     	 € -     		0,00%	 € -     	 € -     	 € -     	 € -     	 € -     	 € -     	 € -     	 € -     					0	0
						 € -     	 € -     		0,00%	 € -     	 € -     	 € -     	 € -     	 € -     	 € -     	 € -     	 € -     					0	0
						 € -     	 € -     		0,00%	 € -     	 € -     	 € -     	 € -     	 € -     	 € -     	 € -     	 € -     					0	0
						 € -     	 € -     		0,00%	 € -     	 € -     	 € -     	 € -     	 € -     	 € -     	 € -     	 € -     					0	0
						 € -     	 € -     		0,00%	 € -     	 € -     	 € -     	 € -     	 € -     	 € -     	 € -     	 € -     					0	0
						 € -     	 € -     		0,00%	 € -     	 € -     	 € -     	 € -     	 € -     	 € -     	 € -     	 € -     					0	0
						 € -     	 € -     		0,00%	 € -     	 € -     	 € -     	 € -     	 € -     	 € -     	 € -     	 € -     					0	0
						 € -     	 € -     		0,00%	 € -     	 € -     	 € -     	 € -     	 € -     	 € -     	 € -     	 € -     					0	0
						 € -     	 € -     		0,00%	 € -     	 € -     	 € -     	 € -     	 € -     	 € -     	 € -     	 € -     					0	0
						 € -     	 € -     		0,00%	 € -     	 € -     	 € -     	 € -     	 € -     	 € -     	 € -     	 € -     					0	0
						 € -     	 € -     		0,00%	 € -     	 € -     	 € -     	 € -     	 € -     	 € -     	 € -     	 € -     					0	0
						 € -     	 € -     		0,00%	 € -     	 € -     	 € -     	 € -     	 € -     	 € -     	 € -     	 € -     					0	0
						 € -     	 € -     		0,00%	 € -     	 € -     	 € -     	 € -     	 € -     	 € -     	 € -     	 € -     					0	0
						 € -     	 € -     		0,00%	 € -     	 € -     	 € -     	 € -     	 € -     	 € -     	 € -     	 € -     					0	0
						 € -     	 € -     		0,00%	 € -     	 € -     	 € -     	 € -     	 € -     	 € -     	 € -     	 € -     					0	0
						 € -     	 € -     		0,00%	 € -     	 € -     	 € -     	 € -     	 € -     	 € -     	 € -     	 € -     					0	0
						 € -     	 € -     		0,00%	 € -     	 € -     	 € -     	 € -     	 € -     	 € -     	 € -     	 € -     					0	0
						 € -     	 € -     		0,00%	 € -     	 € -     	 € -     	 € -     	 € -     	 € -     	 € -     	 € -     					0	0
						 € -     	 € -     		0,00%	 € -     	 € -     	 € -     	 € -     	 € -     	 € -     	 € -     	 € -     					0	0
						 € -     	 € -     		0,00%	 € -     	 € -     	 € -     	 € -     	 € -     	 € -     	 € -     	 € -     					0	0
						 € -     	 € -     		0,00%	 € -     	 € -     	 € -     	 € -     	 € -     	 € -     	 € -     	 € -     					0	0
						 € -     	 € -     		0,00%	 € -     	 € -     	 € -     	 € -     	 € -     	 € -     	 € -     	 € -     					0	0
						 € -     	 € -     		0,00%	 € -     	 € -     	 € -     	 € -     	 € -     	 € -     	 € -     	 € -     					0	0
						 € -     	 € -     		0,00%	 € -     	 € -     	 € -     	 € -     	 € -     	 € -     	 € -     	 € -     					0	0
						 € -     	 € -     		0,00%	 € -     	 € -     	 € -     	 € -     	 € -     	 € -     	 € -     	 € -     					0	0
						 € -     	 € -     		0,00%	 € -     	 € -     	 € -     	 € -     	 € -     	 € -     	 € -     	 € -     					0	0
						 € -     	 € -     		0,00%	 € -     	 € -     	 € -     	 € -     	 € -     	 € -     	 € -     	 € -     					0	0
						 € -     	 € -     		0,00%	 € -     	 € -     	 € -     	 € -     	 € -     	 € -     	 € -     	 € -     					0	0
						 € -     	 € -     		0,00%	 € -     	 € -     	 € -     	 € -     	 € -     	 € -     	 € -     	 € -     					0	0
						 € -     	 € -     		0,00%	 € -     	 € -     	 € -     	 € -     	 € -     	 € -     	 € -     	 € -     					0	0
						 € -     	 € -     		0,00%	 € -     	 € -     	 € -     	 € -     	 € -     	 € -     	 € -     	 € -     					0	0
						 € -     	 € -     		0,00%	 € -     	 € -     	 € -     	 € -     	 € -     	 € -     	 € -     	 € -     					0	0
						 € -     	 € -     		0,00%	 € -     	 € -     	 € -     	 € -     	 € -     	 € -     	 € -     	 € -     					0	0
						 € -     	 € -     		0,00%	 € -     	 € -     	 € -     	 € -     	 € -     	 € -     	 € -     	 € -     					0	0
						 € -     	 € -     		0,00%	 € -     	 € -     	 € -     	 € -     	 € -     	 € -     	 € -     	 € -     					0	0
						 € -     	 € -     		0,00%	 € -     	 € -     	 € -     	 € -     	 € -     	 € -     	 € -     	 € -     					0	0
						 € -     	 € -     		0,00%	 € -     	 € -     	 € -     	 € -     	 € -     	 € -     	 € -     	 € -     					0	0
						 € -     	 € -     		0,00%	 € -     	 € -     	 € -     	 € -     	 € -     	 € -     	 € -     	 € -     					0	0
						 € -     	 € -     		0,00%	 € -     	 € -     	 € -     	 € -     	 € -     	 € -     	 € -     	 € -     					0	0
						 € -     	 € -     		0,00%	 € -     	 € -     	 € -     	 € -     	 € -     	 € -     	 € -     	 € -     					0	0
						 € -     	 € -     		0,00%	 € -     	 € -     	 € -     	 € -     	 € -     	 € -     	 € -     	 € -     					0	0
						 € -     	 € -     		0,00%	 € -     	 € -     	 € -     	 € -     	 € -     	 € -     	 € -     	 € -     					0	0
						 € -     	 € -     		0,00%	 € -     	 € -     	 € -     	 € -     	 € -     	 € -     	 € -     	 € -     					0	0
						 € -     	 € -     		0,00%	 € -     	 € -     	 € -     	 € -     	 € -     	 € -     	 € -     	 € -     					0	0
						 € -     	 € -     		0,00%	 € -     	 € -     	 € -     	 € -     	 € -     	 € -     	 € -     	 € -     					0	0
						 € -     	 € -     		0,00%	 € -     	 € -     	 € -     	 € -     	 € -     	 € -     	 € -     	 € -     					0	0
						 € -     	 € -     		0,00%	 € -     	 € -     	 € -     	 € -     	 € -     	 € -     	 € -     	 € -     					0	0
						 € -     	 € -     		0,00%	 € -     	 € -     	 € -     	 € -     	 € -     	 € -     	 € -     	 € -     					0	0
						 € -     	 € -     		0,00%	 € -     	 € -     	 € -     	 € -     	 € -     	 € -     	 € -     	 € -     					0	0
						 € -     	 € -     		0,00%	 € -     	 € -     	 € -     	 € -     	 € -     	 € -     	 € -     	 € -     					0	0
						 € -     	 € -     		0,00%	 € -     	 € -     	 € -     	 € -     	 € -     	 € -     	 € -     	 € -     					0	0
						 € -     	 € -     		0,00%	 € -     	 € -     	 € -     	 € -     	 € -     	 € -     	 € -     	 € -     					0	0
						 € -     	 € -     		0,00%	 € -     	 € -     	 € -     	 € -     	 € -     	 € -     	 € -     	 € -     					0	0
						 € -     	 € -     		0,00%	 € -     	 € -     	 € -     	 € -     	 € -     	 € -     	 € -     	 € -     					0	0
						 € -     	 € -     		0,00%	 € -     	 € -     	 € -     	 € -     	 € -     	 € -     	 € -     	 € -     					0	0
						 € -     	 € -     		0,00%	 € -     	 € -     	 € -     	 € -     	 € -     	 € -     	 € -     	 € -     					0	0
						 € -     	 € -     		0,00%	 € -     	 € -     	 € -     	 € -     	 € -     	 € -     	 € -     	 € -     					0	0
						 € -     	 € -     		0,00%	 € -     	 € -     	 € -     	 € -     	 € -     	 € -     	 € -     	 € -     					0	0
						 € -     	 € -     		0,00%	 € -     	 € -     	 € -     	 € -     	 € -     	 € -     	 € -     	 € -     					0	0
						 € -     	 € -     		0,00%	 € -     	 € -     	 € -     	 € -     	 € -     	 € -     	 € -     	 € -     					0	0
						 € -     	 € -     		0,00%	 € -     	 € -     	 € -     	 € -     	 € -     	 € -     	 € -     	 € -     					0	0
						 € -     	 € -     		0,00%	 € -     	 € -     	 € -     	 € -     	 € -     	 € -     	 € -     	 € -     					0	0
						 € -     	 € -     		0,00%	 € -     	 € -     	 € -     	 € -     	 € -     	 € -     	 € -     	 € -     					0	0
						 € -     	 € -     		0,00%	 € -     	 € -     	 € -     	 € -     	 € -     	 € -     	 € -     	 € -     					0	0
						 € -     	 € -     		0,00%	 € -     	 € -     	 € -     	 € -     	 € -     	 € -     	 € -     	 € -     					0	0
						 € -     	 € -     		0,00%	 € -     	 € -     	 € -     	 € -     	 € -     	 € -     	 € -     	 € -     					0	0
						 € -     	 € -     		0,00%	 € -     	 € -     	 € -     	 € -     	 € -     	 € -     	 € -     	 € -     					0	0
						 € -     	 € -     		0,00%	 € -     	 € -     	 € -     	 € -     	 € -     	 € -     	 € -     	 € -     					0	0
						 € -     	 € -     		0,00%	 € -     	 € -     	 € -     	 € -     	 € -     	 € -     	 € -     	 € -     					0	0
						 € -     	 € -     		0,00%	 € -     	 € -     	 € -     	 € -     	 € -     	 € -     	 € -     	 € -     					0	0
						 € -     	 € -     		0,00%	 € -     	 € -     	 € -     	 € -     	 € -     	 € -     	 € -     	 € -     					0	0
						 € -     	 € -     		0,00%	 € -     	 € -     	 € -     	 € -     	 € -     	 € -     	 € -     	 € -     					0	0
						 € -     	 € -     		0,00%	 € -     	 € -     	 € -     	 € -     	 € -     	 € -     	 € -     	 € -     					0	0
						 € -     	 € -     		0,00%	 € -     	 € -     	 € -     	 € -     	 € -     	 € -     	 € -     	 € -     					0	0
						 € -     	 € -     		0,00%	 € -     	 € -     	 € -     	 € -     	 € -     	 € -     	 € -     	 € -     					0	0
						 € -     	 € -     		0,00%	 € -     	 € -     	 € -     	 € -     	 € -     	 € -     	 € -     	 € -     					0	0
						 € -     	 € -     		0,00%	 € -     	 € -     	 € -     	 € -     	 € -     	 € -     	 € -     	 € -     					0	0
						 € -     	 € -     		0,00%	 € -     	 € -     	 € -     	 € -     	 € -     	 € -     	 € -     	 € -     					0	0
						 € -     	 € -     		0,00%	 € -     	 € -     	 € -     	 € -     	 € -     	 € -     	 € -     	 € -     					0	0
						 € -     	 € -     		0,00%	 € -     	 € -     	 € -     	 € -     	 € -     	 € -     	 € -     	 € -     					0	0
						 € -     	 € -     		0,00%	 € -     	 € -     	 € -     	 € -     	 € -     	 € -     	 € -     	 € -     					0	0
						 € -     	 € -     		0,00%	 € -     	 € -     	 € -     	 € -     	 € -     	 € -     	 € -     	 € -     					0	0
						 € -     	 € -     		0,00%	 € -     	 € -     	 € -     	 € -     	 € -     	 € -     	 € -     	 € -     					0	0
						 € -     	 € -     		0,00%	 € -     	 € -     	 € -     	 € -     	 € -     	 € -     	 € -     	 € -     					0	0
						 € -     	 € -     		0,00%	 € -     	 € -     	 € -     	 € -     	 € -     	 € -     	 € -     	 € -     					0	0
						 € -     	 € -     		0,00%	 € -     	 € -     	 € -     	 € -     	 € -     	 € -     	 € -     	 € -     					0	0
						 € -     	 € -     		0,00%	 € -     	 € -     	 € -     	 € -     	 € -     	 € -     	 € -     	 € -     					0	0
						 € -     	 € -     		0,00%	 € -     	 € -     	 € -     	 € -     	 € -     	 € -     	 € -     	 € -     					0	0
						 € -     	 € -     		0,00%	 € -     	 € -     	 € -     	 € -     	 € -     	 € -     	 € -     	 € -     					0	0
						 € -     	 € -     		0,00%	 € -     	 € -     	 € -     	 € -     	 € -     	 € -     	 € -     	 € -     					0	0
						 € -     	 € -     		0,00%	 € -     	 € -     	 € -     	 € -     	 € -     	 € -     	 € -     	 € -     					0	0
						 € -     	 € -     		0,00%	 € -     	 € -     	 € -     	 € -     	 € -     	 € -     	 € -     	 € -     					0	0
						 € -     	 € -     		0,00%	 € -     	 € -     	 € -     	 € -     	 € -     	 € -     	 € -     	 € -     					0	0
						 € -     	 € -     		0,00%	 € -     	 € -     	 € -     	 € -     	 € -     	 € -     	 € -     	 € -     					0	0
						 € -     	 € -     		0,00%	 € -     	 € -     	 € -     	 € -     	 € -     	 € -     	 € -     	 € -     					0	0
						 € -     	 € -     		0,00%	 € -     	 € -     	 € -     	 € -     	 € -     	 € -     	 € -     	 € -     					0	0
						 € -     	 € -     		0,00%	 € -     	 € -     	 € -     	 € -     	 € -     	 € -     	 € -     	 € -     					0	0
						 € -     	 € -     		0,00%	 € -     	 € -     	 € -     	 € -     	 € -     	 € -     	 € -     	 € -     					0	0
						 € -     	 € -     		0,00%	 € -     	 € -     	 € -     	 € -     	 € -     	 € -     	 € -     	 € -     					0	0
						 € -     	 € -     		0,00%	 € -     	 € -     	 € -     	 € -     	 € -     	 € -     	 € -     	 € -     					0	0
						 € -     	 € -     		0,00%	 € -     	 € -     	 € -     	 € -     	 € -     	 € -     	 € -     	 € -     					0	0
						 € -     	 € -     		0,00%	 € -     	 € -     	 € -     	 € -     	 € -     	 € -     	 € -     	 € -     					0	0
						 € -     	 € -     		0,00%	 € -     	 € -     	 € -     	 € -     	 € -     	 € -     	 € -     	 € -     					0	0
						 € -     	 € -     		0,00%	 € -     	 € -     	 € -     	 € -     	 € -     	 € -     	 € -     	 € -     					0	0
						 € -     	 € -     		0,00%	 € -     	 € -     	 € -     	 € -     	 € -     	 € -     	 € -     	 € -     					0	0
						 € -     	 € -     		0,00%	 € -     	 € -     	 € -     	 € -     	 € -     	 € -     	 € -     	 € -     					0	0
						 € -     	 € -     		0,00%	 € -     	 € -     	 € -     	 € -     	 € -     	 € -     	 € -     	 € -     					0	0
						 € -     	 € -     		0,00%	 € -     	 € -     	 € -     	 € -     	 € -     	 € -     	 € -     	 € -     					0	0
						 € -     	 € -     		0,00%	 € -     	 € -     	 € -     	 € -     	 € -     	 € -     	 € -     	 € -     					0	0
						 € -     	 € -     		0,00%	 € -     	 € -     	 € -     	 € -     	 € -     	 € -     	 € -     	 € -     					0	0
						 € -     	 € -     		0,00%	 € -     	 € -     	 € -     	 € -     	 € -     	 € -     	 € -     	 € -     					0	0
						 € -     	 € -     		0,00%	 € -     	 € -     	 € -     	 € -     	 € -     	 € -     	 € -     	 € -     					0	0
						 € -     	 € -     		0,00%	 € -     	 € -     	 € -     	 € -     	 € -     	 € -     	 € -     	 € -     					0	0
						 € -     	 € -     		0,00%	 € -     	 € -     	 € -     	 € -     	 € -     	 € -     	 € -     	 € -     					0	0
						 € -     	 € -     		0,00%	 € -     	 € -     	 € -     	 € -     	 € -     	 € -     	 € -     	 € -     					0	0
						 € -     	 € -     		0,00%	 € -     	 € -     	 € -     	 € -     	 € -     	 € -     	 € -     	 € -     					0	0
						 € -     	 € -     		0,00%	 € -     	 € -     	 € -     	 € -     	 € -     	 € -     	 € -     	 € -     					0	0
						 € -     	 € -     		0,00%	 € -     	 € -     	 € -     	 € -     	 € -     	 € -     	 € -     	 € -     					0	0
						 € -     	 € -     		0,00%	 € -     	 € -     	 € -     	 € -     	 € -     	 € -     	 € -     	 € -     					0	0
						 € -     	 € -     		0,00%	 € -     	 € -     	 € -     	 € -     	 € -     	 € -     	 € -     	 € -     					0	0
						 € -     	 € -     		0,00%	 € -     	 € -     	 € -     	 € -     	 € -     	 € -     	 € -     	 € -     					0	0
						 € -     	 € -     		0,00%	 € -     	 € -     	 € -     	 € -     	 € -     	 € -     	 € -     	 € -     					0	0
						 € -     	 € -     		0,00%	 € -     	 € -     	 € -     	 € -     	 € -     	 € -     	 € -     	 € -     					0	0
						 € -     	 € -     		0,00%	 € -     	 € -     	 € -     	 € -     	 € -     	 € -     	 € -     	 € -     					0	0
						 € -     	 € -     		0,00%	 € -     	 € -     	 € -     	 € -     	 € -     	 € -     	 € -     	 € -     					0	0
						 € -     	 € -     		0,00%	 € -     	 € -     	 € -     	 € -     	 € -     	 € -     	 € -     	 € -     					0	0
						 € -     	 € -     		0,00%	 € -     	 € -     	 € -     	 € -     	 € -     	 € -     	 € -     	 € -     					0	0
						 € -     	 € -     		0,00%	 € -     	 € -     	 € -     	 € -     	 € -     	 € -     	 € -     	 € -     					0	0
						 € -     	 € -     		0,00%	 € -     	 € -     	 € -     	 € -     	 € -     	 € -     	 € -     	 € -     					0	0
